id,en,it,no,de,a,b,c,Added in code?
admin.header.welcome,"Welcome, <strong>%s</strong>",,,,,,,
admin.header.guesstimated,There are <a class="label label-warning" href="">%d</a> guesstimated devices.,,,,,,,
admin.header.edit_profile,Edit Profile,,,,,,,
admin.header.facebook_group,Facebook Group,,,,,,,
admin.header.logout,Logout,,,,,,,
admin.index.participants,participants,,,,,,,
admin.index.hours_volunteered,hours volunteered,,,,,,,
admin.index.parties_thrown,parties thrown,,,,,,,
admin.index.waste_prevented,waste prevented,,,,,,,
admin.index.co2_emissions,CO<sub>2</sub> emissions prevented,,,,,,,
admin.index.filter_parties,Filter Parties,,,,,,,
admin.index.parties,Parties,,,,,,,
admin.index.impact,Impact,,,,,,,
admin.index.details,Details,,,,,,,
admin.index.upcoming_parties,Upcoming Restart Parties,,,,,,,
admin.index.new_party,New Party,,,,,,,
admin.index.edit,edit,,,,,,,
admin.index.delete,delete,,,,,,,
admin.index.view_upcoming,view all upcoming events,,,,,,,
admin.index.all_parties,All Parties,,,,,,,
admin.index.viewedit_parties,View/edit all parties,,,,,,,
admin.index.need_attention,Need Attention,,,,,,,
admin.index.guesstimated,Guesstimated,,,,,,,
admin.index.participants_upper,Participants,,,,,,,
admin.index.restarters,Restarters,,,,,,,
admin.index.fixed,Fixed,,,,,,,
admin.index.repairable,Repairable,,,,,,,
admin.index.dead,Dead,,,,,,,
admin.index.add_information,Add Information,,,,,,,
admin.index.aided_by,aided by,,,,,,,
admin.index.hours_of_time,hours of volunteered time,,,,,,,
admin.index.worked_on,worked on,,,,,,,
admin.index.devices,devices,,,,,,,
admin.index.were_fixed,were fixed,,,,,,,
admin.index.were_repairable,were repairable,,,,,,,
admin.index.were_dead,were dead,,,,,,,
admin.index.most_repaired,Most Repaired Devices,,,,,,,
admin.index.total_waste,Total waste prevented:,,,,,,,
admin.index.total_co2,Total CO<sub>2</sub> emission prevented:,,,,,,,
admin.index.equal_to_driving,Equal to driving,,,,,,,
admin.index.like_manufacture_of,or like the manufacture of,,,,,,,
admin.index.cars,cars,,,,,,,
admin.index.like_watching,Like watching TV for,,,,,,,
admin.index.sofas,sofas,,,,,,,
admin.index.approx,approximately,,,,,,,
admin.index.achievements,Achievements,,,,,,,
admin.index.ewaste_to_date,e-Waste Prevented to date,,,,,,,
admin.index.ewaste_this_year,e-Waste prevented this year,,,,,,,
admin.index.co2_to_date,CO<sub>2</sub> emission prevented to date,,,,,,,
admin.index.co2_this_year,CO<sub>2</sub> emission prevented this year,,,,,,,
admin.index.devices_restarted,Devices Restarted,,,,,,,
admin.index.category_details,Category Details,,,,,,,
admin.index.cluster_comps_home,Computers and Home Office,,,,,,,
admin.index.most_seen,Most seen:,,,,,,,
admin.index.most_repaired,Most repaired:,,,,,,,
admin.index.least_repaired,Least repaired:,,,,,,,
admin.index.cluster_electronic,Electronic Gadgets,,,,,,,
admin.index.cluster_home_entertainment,Home Entertainment,,,,,,,
admin.index.cluster_kitchen_household,Kitchen and Household Items,,,,,,,
admin.index.devices_per_category,Devices Restarted Per Categoy,,,,,,,
admin.stats.stats_text,<span class="big blue">%d participants</span> aided by <span class="big blue">%d hours volunteered time</span> worked on <span class="big blue">%d devices.</span>,,,,,,,
admin.stats.were_fixed,were fixed,,,,,,,
admin.stats.were_repairable,were still repairable,,,,,,,
admin.stats.were_dead,were dead,,,,,,,
