id,en,it,no,de,a,b,c,Added in code?
device.create.restart_party,Restart Party,,,,,,,
device.create.category,Category,,,,,,,
device.create.repair_status,Repair Status,,,,,,,
device.create.fixed,Fixed,,,,,,,
device.create.repairable,Repairable,,,,,,,
device.create.more_time,More time needed,,,,,,,
device.create.professional_help,Professional help,,,,,,,
device.create.diy,Do it yourself,,,,,,,
device.create.end_of_life,End of lifecycle,,,,,,,
device.create.spares,Spare parts needed,,,,,,,
device.create.yes,Yes,,,,,,,
device.create.no,No,,,,,,,
device.create.brand,Brand,,,,,,,
device.create.model,Model,,,,,,,
device.create.problem,Problem,,,,,,,
device.create.reset,reset,,,,,,,
device.create.save,save,,,,,,,
device.index.new,New Device,,,,,,,
device.index.all_data,All Device Data,,,,,,,
device.index.search,Search,,,,,,,
device.index.choose_cats,Choose categories...,,,,,,,
device.index.choose_groups,Choose groups...,,,,,,,
device.index.from_date,From date...,,,,,,,
device.index.to_date,To date...,,,,,,,
device.index.brand_placeholder,Brand...,,,,,,,
device.index.model_placeholder,Model...,,,,,,,
device.index.comment_search,Search in the comment...,,,,,,,
device.index.search,Search,,,,,,,
device.index.reset,Reset,,,,,,,
device.index.category,Category,,,,,,,
device.index.brand,Brand,,,,,,,
device.index.model,Model,,,,,,,
device.index.comment,Comment,,,,,,,
device.index.group_name,Event (Group),,,,,,,
device.index.event_date,Event Date,,,,,,,
device.index.location,Location,,,,,,,
device.index.repair_state,Repair state,,,,,,,
device.index.edit,edit,,,,,,,
