id,en,it,no,de,a,b,c,Added in code?
group.create.new_group,Create New Group,,,,,,,
group.create.name,Name,,,,,,,
group.create.description,Description,,,,,,,
group.create.location,Location: where do you keep your fixing tools and supplies?,,,,,,,
group.create.geocode,geocode,,,,,,,
group.create.latitude,latitude...,,,,,,,
group.create.longitude,longitude...,,,,,,,
group.create.city,city...,,,,,,,
group.create.avatar,"Icon, Avatar or Logo of the Group",,,,,,,
group.create.reset,reset,,,,,,,
group.create.save,save,,,,,,,
group.edit.edit_group,Edit Group,,,,,,,
group.index.id,ID,,,,,,,
group.index.group,Group,,,,,,,
group.index.location,Location,,,,,,,
group.index.frequency,Frequency,,,,,,,
group.index.restarters,Restarters,,,,,,,
group.index.parties_per_year,Parties/Year,,,,,,,
