id,en,it,no,de,a,b,c,Added in code?
host.index.multiple_groups,You are a host of multiple groups. You can switch to a different group by clicking the button(s) below.,,,,,,,
host.index.switch_group,Switch to,,,,,,,
host.index.edit_group,Edit Group...,,,,,,,
host.index.participants,participants,,,,,,,
host.index.hours_volunteered,hours volunteered,,,,,,,
host.index.parties_thrown,parties thrown,,,,,,,
host.index.waste_prevented,waste prevented,,,,,,,
host.index.co2_prevented,CO<sub>2</sub> emission prevented,,,,,,,
host.index.filter_parties,Filter Parties,,,,,,,
host.index.share_stats,Share your stats,,,,,,,
host.index.parties,Parties,,,,,,,
host.index.impact,Impact,,,,,,,
host.index.details,Details,,,,,,,
host.index.upcoming_parties,Upcoming Restart Parties,,,,,,,
host.index.new_party,New Party,,,,,,,
host.index.add_party,Add a party,,,,,,,
host.index.no_upcoming,No Upcoming Parties.,,,,,,,
host.index.edit_group,edit,,,,,,,
host.index.delete,delete,,,,,,,
host.index.all_groups_parties,All <span class="grey">%s</span> Parties,,,,,,,
host.index.view_upcoming,view all upcoming events,,,,,,,
host.index.participants_header,Participants,,,,,,,
host.index.restarters_header,Restarters,,,,,,,
