id,en,it,no,de,a,b,c,Added in code?
party.create.dashboard,back to dashboard,,,,,,,
party.create.date,Date,,,,,,,
party.create.description,Description,,,,,,,
party.create.start,Start,,,,,,,
party.create.end,End,,,,,,,
party.create.group,Group,,,,,,,
party.create.venu,Venue Name,,,,,,,
party.create.address,Address,,,,,,,
party.create.geocode,geocode,,,,,,,
party.create.geocode_help,"To pinpoint the party venue on the map, please enter the venue name and the address in the fields above, then press "geocode".",,,,,,,
party.create.latitude,latitude...,,,,,,,
party.create.longitude,longitude...,,,,,,,
party.create.image,Image,,,,,,,
party.create.reset,reset,,,,,,,
party.create.save,save,,,,,,,
party.edit.volunteers,Volunteers,,,,,,,
party.edit.participants,Participants,,,,,,,
party.edit.uploaded_images,Uploaded images,,,,,,,
party.edit.image_ratio,Images are displayed in this ratio for ease of management,,,,,,,
party.index.id,ID,,,,,,,
party.index.new_party,New Party,,,,,,,
party.index.group,Group,,,,,,,
party.index.location,Location,,,,,,,
party.index.date,Date,,,,,,,
party.index.start,Start,,,,,,,
party.index.end,End,,,,,,,
party.index.hours,Hours,,,,,,,
party.index.participants,Pax,,,,,,,
party.manage.save,save,,,,,,,
party.manage.edit,edit details,,,,,,,
party.manage.dashboard,back to dashboard,,,,,,,
party.manage.participants,participants,,,,,,,
party.manage.restarters,restarters,,,,,,,
party.manage.kg_co2,kg of CO<sub>2</sub>,,,,,,,
party.manage.kg_of_waste,kg of waste,,,,,,,
party.manage.share_stats,Share your stats,,,,,,,
party.manage.devices,Devices,,,,,,,
party.manage.category,Category,,,,,,,
party.manage.comment,Comment,,,,,,,
party.manage.image,Image,,,,,,,
party.manage.brand_etc,Brand/Model/Age,,,,,,,
party.manage.repair_status,Repair Status,,,,,,,
party.manage.spare_parts,Spare Parts?,,,,,,,
party.manage.none,None of the above...,,,,,,,
party.manage.estimate,Please input an estimate weight (in kg),,,,,,,
party.manage.estimate_placeholder,Estimate...,,,,,,,
party.manage.brand_placeholder,Brand...,,,,,,,
party.manage.model_placeholder,Model...,,,,,,,
party.manage.age_placeholder,Age...,,,,,,,
party.manage.fixed,Fixed,,,,,,,
party.manage.repairable,Repairable,,,,,,,
party.manage.more_time,More time needed,,,,,,,
party.manage.professional_help,Professional help,,,,,,,
party.manage.diy,Do it yourself,,,,,,,
party.manage.end_of_life,End of lifecycle,,,,,,,
party.manage.choose_cat,Choose category...,,,,,,,
party.manage.add_device,Add Device,,,,,,,
party.manage.save,Save,,,,,,,
party.manage.share_stats,Share your party's stats,,,,,,,
party.manage.copy_help,Copy and paste this code snippet into a page on your website to share your party achievements!,,,,,,,
party.manage.headline_stats,Headline stats,,,,,,,
party.manage.headline_stats_explainer,"This widget shows the headline stats for your party &mdash; the number of participants, number of Restarters, the CO<sub>2</sub> and waste diverted, and the numbers of fixed, repairable, and end-of-life devices",,,,,,,
party.manage.co2_stats,CO<sub>2</sub> equivalence visualisation,,,,,,,
party.manage.co2_stats_explainer,"This widget displays an infographic of an easy-to-understand equivalent of the CO<sub>2</sub> emissions that this party has diverted, such as equivalent number of cars manufactured.",,,,,,,
party.manage.close,Close,,,,,,,
party.manage.device_image,Device S/N Image,,,,,,,
