id,data_provider,country,partner_product_category,product_category,brand,year_of_manufacture,repair_status,event_date,problem,language,translated
restart_12173,The Restart Project,GBR,Misc ~ Tennis tutor,Small home electrical,Tennis Tutor,2009,Repairable,2019-03-20,<p>Ball launcher wheels not turning.</p><p>Stripped unit.</p><p>Test battery x2</p><p>Test each motor</p><p>Test controls.</p><p>Ball motors work if control panel is bypassed.</p><p>Have contacted Manufacturer for advice.</p>,en,<p>Ball launcher wheels not turning.</p><p>Stripped unit.</p><p>Test battery x2</p><p>Test each motor</p><p>Test controls.</p><p>Ball motors work if control panel is bypassed.</p><p>Have contacted Manufacturer for advice.</p>
restart_15853,The Restart Project,GBR,Hi-Fi integrated ~ Radiogram,Hi-Fi integrated,HMV,1959,Repairable,2019-11-16,"16th Nov 2019 item29: HMV valve radiogram chassisThis was a very old radiogram chassis pre 1960's using valves (no transistors or FETs!). First comment is that these are dangerous with high voltages on exposed parts (300-400V and sometimes higher so if you do not understand how they work and cannot identify danger areas DO NOT DABBLE!!Second comment is that this repair is not something to do at a repair cafe event unless you can guarantee no-one but yourself can touch anything either accidentally or deliberately.I took the chassis home:- step 1, get the service manual- step 2, clean the dust off and check correct valves in place and look for failed components - old capacitors are typical failures. They become leaky and loose their capacitance.All seemed remarkably well given the age!One valve was incorrect and removed. This left 2 missing valves. They were in fact the push pull audio output stage valves type HN309. These are somewhat unusual as they have a 12.6V heater - my hunch is that they were used in old valve car radios operating from a 12V battery. HN309 are triode/pentodes (2 valves in one) and like rocking horse you know what to find but after some investigation I found a very similar type LN309 and further cross referencing identified a more common PCL83 as a potential alternative after comparing specs (see here at the Valve Museum for valve information  http://www.r-type.org/)- step 3, Decided to fit a modern mains lead - the old leads were not in a good state.- step 4, I performed a 250V insulation test on the mains transformer and also between primary and secondary windings (looking for breakdown of the enamel coating on windings) - all was well. In this case I repeated at 500V and again all was well. Also checked mains switch wiring was working using a multimeter switched to measure resistance. Again all was well, particularly no shorts. - step 5, I decided to switch on!! even with 2 valves missing. Switching on was performed at the mains socket, with the unit on/off switch already set to on.No nast",en,"16th Nov 2019 item29: HMV valve radiogram chassisThis was a very old radiogram chassis pre 1960's using valves (no transistors or FETs!). First comment is that these are dangerous with high voltages on exposed parts (300-400V and sometimes higher so if you do not understand how they work and cannot identify danger areas DO NOT DABBLE!!Second comment is that this repair is not something to do at a repair cafe event unless you can guarantee no-one but yourself can touch anything either accidentally or deliberately.I took the chassis home:- step 1, get the service manual- step 2, clean the dust off and check correct valves in place and look for failed components - old capacitors are typical failures. They become leaky and loose their capacitance.All seemed remarkably well given the age!One valve was incorrect and removed. This left 2 missing valves. They were in fact the push pull audio output stage valves type HN309. These are somewhat unusual as they have a 12.6V heater - my hunch is that they were used in old valve car radios operating from a 12V battery. HN309 are triode/pentodes (2 valves in one) and like rocking horse you know what to find but after some investigation I found a very similar type LN309 and further cross referencing identified a more common PCL83 as a potential alternative after comparing specs (see here at the Valve Museum for valve information  http://www.r-type.org/)- step 3, Decided to fit a modern mains lead - the old leads were not in a good state.- step 4, I performed a 250V insulation test on the mains transformer and also between primary and secondary windings (looking for breakdown of the enamel coating on windings) - all was well. In this case I repeated at 500V and again all was well. Also checked mains switch wiring was working using a multimeter switched to measure resistance. Again all was well, particularly no shorts. - step 5, I decided to switch on!! even with 2 valves missing. Switching on was performed at the mains socket, with the unit on/off switch already set to on.No nast"
restart_3494,The Restart Project,GBR,Power tool ~ Drill,Power tool,Unknown,????,Repairable,2016-10-29,24v drill battery cells - exhausted,en,24v drill battery cells - exhausted
restart_4875,The Restart Project,GBR,Vacuum,Vacuum,Unknown,????,Repairable,2017-04-22,"3.6v Hoover. Charger plug issue - needs new battery, charger, and resistor. Client to decide whether this is economical for her.",en,"3.6v Hoover. Charger plug issue - needs new battery, charger, and resistor. Client to decide whether this is economical for her."
rcwales_2428,The Restart Project,GBR,Other ~ 5v battery charger,Battery/charger/adapter,Unknown,????,Repairable,2019-07-01,5v battery charger seems dead,en,5v battery charger seems dead
fixitclinic_584,The Restart Project,USA,A talking photo album - https://dementia.livebetterwith.com/products/talking-photo-album-memories-brought-to-life?variant=29399394025547&currency=USD&sfdr_ptcid=31654_4_498792062&sfdr_hash=034e8e7c519df9f9d3dc07afe1905cd0&gclid=Cj0KCQiAoIPvBRDgARIsAHsCw0_,Handheld entertainment device,Sharper Image,????,Repairable,2019-11-29,"A talking photo album - https://dementia.livebetterwith.com/products/talking-photo-album-memories-brought-to-life?variant=29399394025547&currency=USD&sfdr_ptcid=31654_4_498792062&sfdr_hash=034e8e7c519df9f9d3dc07afe1905cd0&gclid=Cj0KCQiAoIPvBRDgARIsAHsCw0_ ~ It won't play the recorded ""captions"" anymore.  I've tried replacing the battery.  I don't want to reset it if I don't have to, because I'll have to re-record all the captions again if I do.",en,"A talking photo album - https://dementia.livebetterwith.com/products/talking-photo-album-memories-brought-to-life?variant=29399394025547&currency=USD&sfdr_ptcid=31654_4_498792062&sfdr_hash=034e8e7c519df9f9d3dc07afe1905cd0&gclid=Cj0KCQiAoIPvBRDgARIsAHsCw0_ ~ It won't play the recorded ""captions"" anymore.  I've tried replacing the battery.  I don't want to reset it if I don't have to, because I'll have to re-record all the captions again if I do."
restart_15571,The Restart Project,ITA,Misc,Misc,Unknown,????,End of life,2019-11-02,acid lost by batteries corroded the electronic board,en,acid lost by batteries corroded the electronic board
restart_6943,The Restart Project,GBR,Mobile,Mobile,Apple,????,Repairable,2018-01-14,advice given - battery,en,advice given - battery
restart_14666,The Restart Project,GBR,Misc,Misc,Unknown,????,Repairable,2019-09-14,Advice given on cable and battery,en,Advice given on cable and battery
restart_15111,The Restart Project,GBR,Portable radio,Portable radio,Unknown,????,Repairable,2019-10-12,alarm clock- battery cage needs fixing.,en,alarm clock- battery cage needs fixing.
restart_16326,The Restart Project,GBR,Musical instrument,Musical instrument,Unknown,????,Repairable,2019-12-21,Amp setting battery not connecting - suggested to buy new pick up unit and advised how to fit,en,Amp setting battery not connecting - suggested to buy new pick up unit and advised how to fit
restart_10981,The Restart Project,GBR,Mobile,Mobile,Unknown,????,Repairable,2019-01-19,Android - battery needs replacing - more time needed,en,Android - battery needs replacing - more time needed
restart_8363,The Restart Project,GBR,Power tool ~ Strimmer,Power tool,Unknown,????,Repairable,2018-05-19,"Appears to be a bad battery, as motor and charger seem to be OK.  Adviced to replace battery.",en,"Appears to be a bad battery, as motor and charger seem to be OK.  Adviced to replace battery."
restart_6661,The Restart Project,GBR,Tablet,Tablet,Samsung,????,Repairable,2017-11-25,arrived dismantled. new battery but won't power up. ribbon cable to screen had been torn from connection. owner to try external monitor to save data.,en,arrived dismantled. new battery but won't power up. ribbon cable to screen had been torn from connection. owner to try external monitor to save data.
restart_11107,The Restart Project,ISL,Mobile,Mobile,Sony,2015,Repairable,2019-01-24,Bad battery,en,Bad battery
rcint_18602,Repair Café International,USA,Toys electric ~ Toy,Toy,Unknown,1960,End of life,2019-05-25,batteries don't work,en,batteries don't work
rcint_11631,Repair Café International,NLD,Computers/phones ~ Laptop,Laptop,Toshiba,2008,Repairable,2018-11-23,batterij + harddisk,nl,Battery + HDD
