id_ords,data_provider,country,partner_product_category,product_category,brand,year_of_manufacture,repair_status,event_date,problem,translation,language
anstiftung_1038,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Unknown,????,Unknown,2019-03-19,n.a.,n. a.,de
anstiftung_1108,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,HP,????,Repairable,2019-04-16,"Papiereinzug kaputt, nach Feuchtigkeitskontakt",Paper Feed broken by moisture contact,de
anstiftung_1144,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,HP,????,Unknown,2019-04-17,"Papiereinzug defektDruckt nicht mehrhier nicht reparierbar, weil kein Zugang zum Service Manual",Paper Feed not not defective prints more here repairable because no access to the Service Manual,de
anstiftung_1177,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Brother,????,Fixed,2019-01-24,"In kaum einer Minute geklärt hatte sich das Problem eines Brother „HL2035“ Laserdruckers, an dem die rote Fehler-LED leuchtete und mit dem kein Druck mehr möglich war. Nachdem wir die rückseitige Wartungsklappe geöffnet hatten, offenbarte sich uns auch gleich die Ursache: Papierstau - ein Blatt war zwischen den Walzen stecken geblieben und musste nur entfernt werden, damit alles wieder lief.","clarified in less than a minute, the problem was a Brother ""HL2035"" laser printer to which the red error LED lit and with no pressure was more possible. Paper jam - a leaf was stuck between the rollers remained and only had to be removed so that everything ran again after we had opened the rear service door, to us also revealed the same cause.",de
anstiftung_1198,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Canon,????,Unknown,2019-02-07,"Der Papiereinzug eines Canon „Pixma MG 5750“ Multifunktionsdruckers funktionierte nur sehr unzuverlässig. Damit die Blätter richtig eingezogen werden, musste man häufig etwas nachhelfen. In der verbliebenen Zeit fanden wir keinen offensichtlichen Fehler, vermuten aber abgenutzte Moosgummiwalzen. Wenn das Gerät zu einem der kommenden Termine noch einmal wiedergebracht wird, können wir die Analyse fortsetzen und es dann hoffentlich reparieren.","The pickup of a Canon ""Pixma MG 5750"" multifunction printer worked very unreliable. So that the sheets are fed properly, you had often helped along. In the remaining time we found no obvious mistakes but suspect worn foam rubber rollers. If the unit is brought back again to one of your upcoming events, we can continue the analysis and hopefully fix it.",de
anstiftung_1271,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Unknown,????,Repairable,2018-10-20,Papiereinzug defekt,Paper Feed defective,de
anstiftung_1322,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Canon,2013,Unknown,2019-04-23,"Fehlermeldung B200Trotz Druckkopfreinigung und Reset, nicht repariert","Error message B200Trotz print head cleaning and reset, not repaired",de
anstiftung_1348,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Canon,2011,Unknown,2019-05-07,Platine kaputt,board broken,de
anstiftung_1541,anstiftung,DEU,Elektro Sonstiges ~ Faxgerät,Printer/scanner,Panasonic,????,Unknown,2018-10-11,"Papiereinzug klappt nicht.Gerät heruntergefallen, Teil gebrochen.","Paper feed does not work. Appliance has been dropped, broken part.",de
anstiftung_1572,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Samsung,????,Unknown,2018-07-12,Keine Funktion nach Reinigungsaktion der Besitzerin. Fehlerlampe leuchtete.Keine Infos zu dem Fehler zu finden.,No function after cleaning action of the owner. Error lamp lit up. to find any information about the error.,de
anstiftung_1593,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,HP,????,Unknown,2018-05-09,"Eingesetzte Tintenpatronen wurden nicht erkannt.Keine Originalpatronen, vermutlich das Problem.","Used ink cartridges are not recognized. No original cartridges, probably the problem.",de
anstiftung_1626,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Epson,????,Fixed,2019-02-28,"Ein Epson „XS240W“ Multifunktionsdrucker lieferte beim Farbausdruck kein ordentliches Bild mehr. Scheinbar war der Druckkopf bereits ziemlich eingetrocknet. Nachdem wir mehrmals eine Druckkopfreinigung durchgeführt und Testausdrucke vorgenommen hatten, zeigt sich bereits ein deutlich verbessertes Druckbild, mit dem der Besitzer wieder zufrieden war. Wir empfahlen ihm noch, längere Standzeiten zu vermeiden und zukünftig besser Originaltinte für das Gerät zu verwenden.","An Epson ""XS240W"" multifunction printer did not provide a decent picture more in color expression. It seems that the head was already quite dried up. After we carried out several times a print head cleaning and test prints were made already shows a significantly improved print image with which the owner was again satisfied. We have advised him to avoid longer life and better to use genuine ink for the device in the future.",de
anstiftung_1681,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Canon,????,End of life,2018-03-08,"Fehlermeldung ""B 200"".Druckkopf beim Reinigungszyklus nicht auf der Parkposition, ""Timing Strip"" verschmutzt, müsste getauscht werden.","Error message ""200 B"" .Druckkopf not dirty in the park position, ""Timing Strip"" during the cleaning cycle would have to be replaced.",de
anstiftung_1691,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Epson,????,Unknown,2018-02-08,zeigte Lücken im Ausdruck.Verbessern konnten wir nichts mehr und gaben lediglich noch ein paar Tipps zur Auswahl der Tinte und Pflege des Druckkopfes.,showed gaps in the printing. We improved nothing and gave only a few tips on choosing the ink and maintenance of the print head.,de
anstiftung_1735,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Epson,????,Fixed,2018-01-11,Fortsetzung vom letzten Mal:wir konnten die zwischenzeitlich besorgte Tintenpatrone einsetzen.,Continued from the last time we were able to use in the meantime got ink cartridge.,de
anstiftung_1743,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,HP,????,Unknown,2017-12-14,"Beim Einlegen der Ersatzpatronen hatte die Besitzerin etwas falsch gemacht und nun zeigte das Gerät einen Fehlercode an. Dieser wies auf ein defektes Tintensystem hin. Wir versuchten einige Tipps aus dem Internet, hatten aber keinen Erfolg. Da ist ein neuer Drucker nötig.","When inserting the replacement cartridges, the owner had done something wrong and now the device showed an error code. This pointed to a faulty ink system. We tried some tips from the Internet, but did not succeed. Since a new printer is needed.",de
anstiftung_1746,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Epson,????,Repairable,2017-12-14,"Druckt nicht mehr, Patrone leer.",does not print more cartridge empty.,de
anstiftung_1751,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Samsung,????,Repairable,2019-04-23,"Der mitgebrachte Drucker stand eine ganze Weile im Keller. Nach anfänglichen Startschwierigkeiten beim Hochfahren des Druckers schafften wir es, dass er doch noch eine Testseite ausdruckte. Aber den unzuverlässigen Papiereinzug - den eigentlichen Fehler - konnten wir nicht beheben. Die Gummirolle vom Papiereinzug war abgenutzt und muss ersetzt werden.",The printer was brought for a while in the cellar. After initial teething problems at start-up of the printer we made it that he still printed out a test page. But the unreliable paper feed - the actual error - we could not fix. The rubber roller from the paper feed was worn and must be replaced.,de
anstiftung_1832,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Unknown,????,Fixed,2017-09-14,"Hatte ein schlechtes Druckbild, eine Farbe fehlte völlig. Die Besitzerin hatte das Gerät schon zweimal in einer Werkstatt und die gab dann auf. Angeblich wurden dort neue Patronen eingesetzt, doch wir stellten sofort eine leere gelbe Patrone fest - somit war klar, warum die Farbe fehlte. Außerdem waren keine Originalpatronen eingesetzt, was auch zu Problemen beim Druckbild führen kann. Wir reinigten den Druckkopf und rieten der Besitzerin, es mit einem kompletten Satz neuer Originalpatronen nochmal zu versuchen.","Had a bad print image, a color was totally absent. The owner had the unit twice in a workshop and then gave up. Allegedly new cartridges were used there, but we immediately put a blank yellow cartridge firmly - was therefore clear why the color was missing. In addition, no original cartridges were used, which can also lead to problems when the printed image. We cleaned the print head and advised the owner, to try again with a complete set of new original cartridges.",de
anstiftung_2077,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Canon,????,Unknown,2018-10-23,Zieht Papier nicht ein. Fehler der Ansteuerung nicht gefunden,Does not feed paper. Not Found error of control,de
anstiftung_2104,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Unknown,????,Repairable,2016-04-14,"Es regte sich nach dem Einschalten nichts. Wir demontierten das Netzteil, das servicefreundlich in einem Modul steckte, welches man aus dem Gerät ziehen konnte. Es lieferte nicht mehr alle benötigten Spannungen. Leider war dieses Modul vergossen, sodass es nur insgesamt gewechselt werden kann. Dann sollte der Drucker aber wieder funktionieren.","It stirred after turning nothing. We dismantled the power supply, which put to service in a module that you could pull out of the device. It provided not all required voltages. Unfortunately, this module was shed so that it can only be changed as a whole. Then the printer but should work again.",de
anstiftung_2105,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Unknown,????,Unknown,2016-04-14,"hatte während des Druckens plötzlich nur noch weiße Seiten ausgeliefert und zeigte seitdem eine Fehlermeldung an. Zuerst vermuteten wir das bekannte Problem mit dem eingebauten Seitenzähler, den man zurücksetzen kann. Aber nach einiger Internetrecherche fanden wir heraus, dass der Fehler einen defekten Druckkopf bedeutete. Das Ersatzteil übersteigt leider den Preis eines neuen Druckers, weshalb sich eine Reparatur nicht lohnt.","only white pages had delivered during printing suddenly and showed since then an error message. First we suspected the known problem with the built-page counter that can be reset. But after some internet research we found out that the error meant a defective printhead. Unfortunately, the replacement part exceeds the price of a new printer, which is why a repair is not worthwhile.",de
anstiftung_2180,anstiftung,DEU,Computer ~ Kopierer,Printer/scanner,Canon,????,Repairable,2018-09-25,"Der Tischkopierer wollte kein Papier mehr einziehen. Hier haben wir einen Blattmitnehmer als Ursache festgestellt, den der Besucher neu besorgen will.","The table copier paper did not move more. Here we found a Blattmitnehmer as the cause, the visitor wants to re-arrange.",de
anstiftung_2270,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Unknown,????,Repairable,2017-09-07,"Funktionierte nicht mehr.Wir stellten fest, dass im internen Schaltnetzteil die Spannung einbricht. Wir vermuten defekte Elektrolytkondensatoren, für die nun Ersatz bestellt werden muss.",no longer worked. We found that the internal switching power supply breaks the tension. We suspect faulty electrolytic capacitors for compensation now to be ordered.,de
anstiftung_2282,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Brother,????,Fixed,2017-08-17,"kleckste und zog Streifen beim Drucken. Wir haben diesbezüglich im Internet gesucht und sind fündig geworden. Über das Servicemenü konnten wir die Reinigung und danach auch die Ansaugung der Tinte aktivieren. Das Druckbild wurde deutlich besser. Wir gaben dem Besitzer noch den Tipp, die Patronen in Zukunft rechtzeitig zu wechseln, um einen Abriss der Tinte zu vermeiden.",kleckste and drew lines when printing. We have in this regard searched the internet and found it. we were able to activate the cleaning and then the suction of the ink from the service. The printed image was much better. We gave the owner nor the tip to replace the cartridges in the future in time to avoid an outline of the ink.,de
anstiftung_2321,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,HP,????,Unknown,2017-06-01,"Er zog das Papier aufgrund einer fehlenden Einzugswalze nicht mehr richtig ein. Wo sich diese nun befindet, konnten wir nicht feststellen.","He did not pull the paper due to lack of feed roll more correctly. Where it is located now, we could not tell.",de
anstiftung_2336,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Unknown,????,Fixed,2017-05-04,Er erkannte die Patronen nicht mehr.Wir konnten das durch einen Reset im Software-Menü wieder in Gang bringen.,He did not recognize the cartridges. We were able to bring out a reset in the software menu again.,de
anstiftung_2341,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Unknown,????,Fixed,2017-05-04,Druckte nur noch Streifen.Wir konnten durch die Reinigung des Druckkopfes mit Wasser den Fehler beheben.,only missing print. We fixed by cleaning the print head with water the error.,de
anstiftung_2369,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Unknown,????,Unknown,2017-03-16,Nach einem Sturz funktionierte er nicht mehr.Wir fanden einen unrettbaren Schaden auf der Hauptplatine vor. Er gab - auch nach der Demontage - keine Lebenszeichen von sich.,"After a fall, he no longer worked. We found a unrettbaren damage before on the motherboard. He was - even after dismounting - no sign of life.",de
anstiftung_2378,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Brother,????,Fixed,2019-05-18,"Er druckte nicht mehr. Wir tauschten die Tonereinheit gegen einen mitgebrachten Ersatz aus und reinigten das Gerät inklusive Bildeinheit gründlich. Nun druckte er wieder, hatte aber leichte Schmutzspuren am Rand des Ausdrucks. Um das zu beheben, müsste eine neue Trommeleinheit eingebaut werden. Das ist dem Besitzer aber zu teuer. Er kann mit der erreichten Druckqualität gut leben.","He no longer printed. We exchanged the toner unit against a replacement brought out and cleaned the device, including imaging unit thoroughly. Now he printed again, but had slight traces of dirt on the edge of the printout. To fix this, would have to be installed in a new drum unit. That's the owner but too expensive. He can live with the achieved print quality.",de
anstiftung_2434,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,HP,????,Fixed,2016-11-17,Die Besitzerin hatte die schwarze Patrone selbst nachgefüllt. Allerdings war der Druckkopf komplett eingetrocknet. Glücklicherweise ist bei ihrem Modell der Druckkopf in der Patrone integriert und kann somit mit einer neuen Patrone gleich erneuert werden.,"The owner had refilled the black cartridge itself. However, the print head was completely dried up. Fortunately, in their model, the print head is built into the cartridge and can be replaced immediately with a new cartridge.",de
anstiftung_2444,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Unknown,????,Unknown,2016-10-25,"Er druckte nicht mehr. Letztendlich haben wir einen defekten Druckkopf festgestellt. Ob die Reparatur lohnt, ist fraglich.",He no longer printed. Eventually we found a defective printhead. Whether the repair is worth is questionable.,de
anstiftung_2460,anstiftung,DEU,Computer ~ Drucker,Printer/scanner,Unknown,????,Unknown,2016-09-01,"Er zeigte beharrlich eine Fehlermeldung an. Alle Versuche, das zurückzusetzen, klappten nicht. Der Fehler war ein defekter Druckkopf. Der Besitzer wird ihn als Ersatzteilspender aufheben.",He showed persistently receive an error message. All attempts to reset the not folded. The error was a defective printhead. The owner will pick it up for spare parts.,de
