Date,Venue,Group,Participants,Volunteers,"CO2 (kg)","Weight (kg)",Fixed,Repairable,Dead,"Hours Volunteered"
10/10/2021,"Repair Café Tournai",,0,1,0,0,0,0,0,12
10/10/2021,"St George's Tufnell Park",,11,7,0,0,0,0,0,30
10/10/2021,"Repair Café Visé & Environs",,0,1,0,0,0,0,0,12
10/10/2021,"Repair café de Redu",,0,1,0,0,0,0,0,12
10/10/2021,"repair cafe Tubize",,0,1,0,0,0,0,0,12
10/10/2021,"Repair Café Aubange",,0,1,0,0,0,0,0,12
10/10/2021,"Repair Café de Neufchâteau",,0,1,0,0,0,0,0,12
10/10/2021,"Repair Café Eghezée",,0,1,0,0,0,0,0,12
10/10/2021,"Repair Café Orp Le Grand",,0,1,0,0,0,0,0,12
09/10/2021,"Repair Café Saint-Gilles",,0,1,0,0,0,0,0,12
09/10/2021,"Repair café de Verviers",,0,1,0,0,0,0,0,12
09/10/2021,"Repair Café Namur Confluence",,0,1,0,0,0,0,0,12
09/10/2021,"Repair Café Ciney",,0,2,0,0,0,0,0,15
09/10/2021,"La Boîte ARC'oudre: Repair et initiation COUTURE",,0,1,0,0,0,0,0,12
09/10/2021,"Repair Café Baudour",,0,1,0,0,0,0,0,12
09/10/2021,"Make Gosport",,0,1,0,0,0,0,0,12
09/10/2021,"Repair Café - Havelange",,0,1,0,0,0,0,0,12
09/10/2021,"Repair Café Wavre",,0,1,0,0,0,0,0,12
09/10/2021,"Repair Café Thimister-Clermont",,46,18,0,0,0,0,0,63
09/10/2021,"Repair Café Habay - Spécial PC",,0,1,0,0,0,0,0,12
09/10/2021,"Repair Café d'octobre Marche-en-Famenne",,0,1,0,0,0,0,0,12
09/10/2021,"Test Event Stats 1",,0,1,154717.7,5054.89,47,47,0,12
09/10/2021,"Repair Café Fontaine de nouveau sur les rails !",,0,1,0,0,0,0,0,12
08/10/2021,"Repair-café chastre",,0,1,0,0,0,0,0,12
08/10/2021,"Le tour du Repair Café Mobile en Wallonie",,0,2,0,0,0,0,0,15
06/10/2021,"Permanence @Repair Lab",,0,1,0,0,0,0,0,12
06/10/2021,"Repair Café Barcelona",,0,1,0,0,0,0,0,12
05/10/2021,"Repair Café des Marolles",,16,6,0,0,0,0,0,27
04/10/2021,"Repair Café La Tricoterie",,0,1,0,0,0,0,0,12
03/10/2021,"REPAIR CAFE PEPINSTER",,0,1,0,0,0,0,0,12
03/10/2021,"RCF strikes again !",,15,7,0,0,0,0,0,30
03/10/2021,"Repair Café Braine-L'Alleud",,0,1,0,0,0,0,0,12
03/10/2021,"Sunday Repair @Garaget",,9,6,0,0,0,0,0,27
03/10/2021,"Repair Café Laveu",,0,1,0,0,0,0,0,12
03/10/2021,"Repair Cafe de Waterloo le dimanche 3 octobre 2021",,0,1,0,0,0,0,0,12
03/10/2021,"Repair Café Ixelles - Elzenhof",,0,1,0,0,0,0,0,12
03/10/2021,"Repair café Stavelot",,0,1,0,0,0,0,0,12
03/10/2021,"Repair Café Amay : session mensuelle",,0,1,0,0,0,0,0,12
02/10/2021,"Repair Café La Bruyère",,0,1,0,0,0,0,0,12
02/10/2021,"Repair Café de Boland",,40,12,0,0,0,0,0,45
02/10/2021,"3° RESTART PARTY AL TEMPIO VALDESE",,0,1,0,0,0,0,0,12
02/10/2021,"Permanence @Repair Lab",,0,1,0,0,0,0,0,12
02/10/2021,"Repair Café Mons",,0,1,0,0,0,0,0,12
02/10/2021,"Repair Café Brabant",,0,1,0,0,0,0,0,12
02/10/2021,"Repair café de Seraing",,0,1,0,0,0,0,0,12
02/10/2021,"Repair Vélos - Re-Cycle Jodoigne",,0,1,0,0,0,0,0,12
02/10/2021,"St Brelade Repair Cafe",,20,4,0,0,0,0,0,21
02/10/2021,"repair cafe de Malonne",,0,1,0,0,0,0,0,12
02/10/2021,"Repair café Gedinne",,0,1,0,0,0,0,0,12
02/10/2021,"Marlow Repair Café",,0,4,0,0,0,0,0,21
30/09/2021,"Repair café (Régie des Quartiers de Herstal)",,0,1,0,0,0,0,0,12
29/09/2021,"Permanence @Repair Lab",,0,2,0,0,0,0,0,15
27/09/2021,"Soirée de reóuverture des Repair Cafés de l'ULB",,0,2,0,0,0,0,0,15
27/09/2021,"Repair Café Fontaine de nouveau sur les rails !",,0,1,0,0,0,0,0,12
26/09/2021,"Repair Café Jette",,0,1,0,0,0,0,0,12
26/09/2021,"Repair Café Saint-Léger",,0,1,0,0,0,0,0,12
26/09/2021,"REPAIR CAFE NEUPRE (Neuville-en-Condroz)",,0,0,0,0,0,0,0,21
26/09/2021,"Repair Café de Liège",,0,1,0,0,0,0,0,12
26/09/2021,"Repair Café Kraainem",,18,10,0,0,0,0,0,39
26/09/2021,"Repair Café de Braine-le-Château",,0,1,0,0,0,0,0,12
26/09/2021,"Repair café Libramont",,10,5,0,0,0,0,0,24
26/09/2021,"Repair Cafe 100% Audio (COMPLET !)",,0,1,0,0,0,0,0,12
26/09/2021,"Repair Café Gouvy",,0,1,0,0,0,0,0,12
26/09/2021,"Repair-café Quartier Durable Chant d'Oiseau",,0,1,0,0,0,0,0,12
25/09/2021,"Repair Cafe Jassogne",,14,10,0,0,0,0,0,39
25/09/2021,"Repair Café Barvaux et Grande Donnerie",,0,1,0,0,0,0,0,12
25/09/2021,"Repair Café Fauvillers-Martelange",,0,1,0,0,0,0,0,12
25/09/2021,"Repair Café Solidaire !",,0,1,0,0,0,0,0,12
25/09/2021,Peasedown,,0,1,0,0,0,0,0,12
25/09/2021,"Repair Café Huy Rive Gauche",,0,1,0,0,0,0,0,12
23/09/2021,"Repair café (Régie des Quartiers de Herstal)",,0,1,0,0,0,0,0,12
23/09/2021,"Repair café (Régie des Quartiers de Herstal)",,0,1,0,0,0,0,0,12
