"Overall Stats:"
"Hours Volunteered","Average age","Number of groups","Total number of users","Number of anonymous users"
11256,50.4,117,552,0

"Breakdown by country:"
"Country name","Total hours"
GB,6702
CA,1382
SE,1028
IT,722
BE,636

"Breakdown by city:"
"Town/city name","Total hours"
London,3806
Malmö,776
N/A,768
Montréal,569
Leeds,440

Results:
#,Hours,"Event date","Restart group",Location
1622,4.00,30/01/2021,"Hackney Fixers","The Redmond Centre, Kayani Avenue, N4 2HF London"
1521,2.50,19/12/2020,"Repair Café Portsmouth","174 Kingston Road, Portsmouth, UK"
1605,4.00,04/12/2020,"Restarters Milano","Via Casoria, 50, 20134 Milano, Metropolitan City of Milan, Italy"
1605,4.00,04/12/2020,"Restarters Milano","Via Casoria, 50, 20134 Milano, Metropolitan City of Milan, Italy"
1476,1.66,28/11/2020,"Brighton Repair Cafe ","The Hanover Centre, 33 Southover Street, Brighton, BN2 9UD"
1487,3.00,28/11/2020,"Repair Café Genk","Halmstraat 9, Genk, België"
1487,3.00,28/11/2020,"Repair Café Genk","Halmstraat 9, Genk, België"
1520,2.50,21/11/2020,"Repair Café Portsmouth","174 Kingston Road, Portsmouth, UK"
1432,4.00,15/11/2020,"Reading Repair Café","(RISC) Reading International Solidarity Centre 35-39 London Street, RG1 4PS Reading, England"
1432,4.00,15/11/2020,"Reading Repair Café","(RISC) Reading International Solidarity Centre 35-39 London Street, RG1 4PS Reading, England"
1475,2.00,24/10/2020,"Brighton Repair Cafe ","The Hanover Centre, Southover Street, Brighton, BN2 9UD"
1486,3.00,24/10/2020,"Repair Café Genk","Halmstraat 9, Genk, België"
1486,3.00,24/10/2020,"Repair Café Genk","Halmstraat 9, Genk, België"
1431,4.00,18/10/2020,"Reading Repair Café","rLab Reading Hackspace, Weldale Street Reading RG1 7BX"
1431,4.00,18/10/2020,"Reading Repair Café","rLab Reading Hackspace, Weldale Street Reading RG1 7BX"
1519,2.50,17/10/2020,"Repair Café Portsmouth","174 Kingston Road, Portsmouth, UK"
1623,3.00,11/10/2020,"Repair Café Haacht","Verhaegenlaan 5, 3150 Haacht, België"
1623,3.00,11/10/2020,"Repair Café Haacht","Verhaegenlaan 5, 3150 Haacht, België"
