group,key,en,fk,lang,alias,trans
_json,"Coffee maker","Coffee maker","Coffee maker",de,de,Kaffeemaschine
_json,"Hand tool","Hand tool","Hand tool",de,de,Handwerkzeug
_json,Iron,Iron,Iron,de,de,Eisen
_json,Jewellery,Jewellery,Jewellery,de,de,Schmuck
_json,Laptop,Laptop,Laptop,de,de,Laptop
_json,Scanner,Scanner,Scanner,de,de,Scanner
_json,Tablet,Tablet,Tablet,de,de,Tablette
_json,Toaster,Toaster,Toaster,de,de,Toaster
_json,Toner,Toner,Toner,de,de,Toner
_json,"Vendor lock-in","Vendor lock-in","Vendor Lock-in",de,de,"Bindung an den Lieferanten"
admin,brand,Brand,Brand,de,de,Marke
admin,brand_modal_title,"Add new brand","Add new brand",de,de,"Neue Marke hinzufügen"
admin,brand-name,"Brand name","Brand name",de,de,Markenname
admin,categories,Categories,Categories,de,de,Kategorien
admin,category_cluster,"Category Cluster","Category Cluster",de,de,"Kategorie Cluster"
admin,category_name,"Category name","Category name",de,de,"Name der Kategorie"
admin,co2_footprint,"CO<sub>2</sub> Footprint (kg)","CO<sub>2</sub> Footprint (kg)",de,de,"CO<sub>2</sub> Fußabdruck (kg)"
admin,create-new-brand,"Create new brand","Create new brand",de,de,"Neue Marke schaffen"
admin,create-new-category,"Create new category","Create new category",de,de,"Neue Kategorie erstellen"
admin,create-new-skill,"Create new skill","Create new skill",de,de,"Neue Fertigkeit erstellen"
admin,create-new-tag,"Create new tag","Create new tag",de,de,"Neues Tag erstellen"
admin,delete-skill,"Delete skill","Delete skill",de,de,"Fähigkeit löschen"
admin,delete-tag,"Delete tag","Delete tag",de,de,"Tag löschen"
admin,description,Description,Description,de,de,Beschreibung
admin,description_optional,"Description (optional)","Description (optional)",de,de,"Beschreibung (fakultativ)"
admin,edit-brand,"Edit brand","Edit brand",de,de,"Marke bearbeiten"
admin,edit-brand-content,,,de,de,
admin,edit-category,"Edit category","Edit category",de,de,"Kategorie bearbeiten"
admin,edit-category-content,,,de,de,
admin,edit-group-tag,"Edit group tag","Edit group tag",de,de,"Gruppen-Tag bearbeiten"
admin,edit-group-tag-content,,,de,de,
admin,edit-skill,"Edit skill","Edit skill",de,de,"Fähigkeit bearbeiten"
admin,edit-skill-content,,,de,de,
admin,edit-tag,"Edit tag","Edit tag",de,de,"Tag bearbeiten"
admin,group-tags,"Group tags","Group tags",de,de,Gruppen-Tags
admin,name,Name,Name,de,de,Name
admin,reliability,Reliability,Reliability,de,de,Verlässlichkeit
admin,reliability-1,"Very poor","Very poor",de,de,"Sehr schlecht"
admin,reliability-2,Poor,Poor,de,de,Schlecht
admin,reliability-3,Fair,Fair,de,de,Messe
admin,reliability-4,Good,Good,de,de,Gut
admin,reliability-5,"Very good","Very good",de,de,"Sehr gut"
admin,reliability-6,N/A,N/A,de,de,K.A.
admin,save-brand,"Save brand","Save brand",de,de,"Marke speichern"
admin,save-category,"Save category","Save category",de,de,"Kategorie speichern"
admin,save-skill,"Save skill","Save skill",de,de,"Fähigkeit speichern"
admin,save-tag,"Save tag","Save tag",de,de,"Tag speichern"
admin,skill_name,"Skill name","Skill name",de,de,"Name der Fertigkeit"
admin,skills,Skills,Skills,de,de,Fertigkeiten
admin,skills_modal_title,"Add new skill","Add new skill",de,de,"Neue Fähigkeit hinzufügen"
admin,tag-name,"Tag name","Tag name",de,de,Tag-Name
admin,tags_modal_title,"Add new tag","Add new tag",de,de,"Neuen Tag hinzufügen"
admin,weight,"Weight (kg)","Weight (kg)",de,de,"Gewicht (kg)"
auth,assigned_groups,"Assigned to groups","Assigned to groups",de,de,"Den Gruppen zugewiesen"
auth,change_password,"Change password","Change password",de,de,"Passwort ändern"
auth,change_password_text,"Keep your account safe and regularly change your password.","Keep your account safe and regularly change your password.",de,de,"Bewahren Sie Ihr Konto sicher auf und ändern Sie Ihr Passwort regelmäßig."
auth,create_account,"Create an account","Create an account",de,de,"Ein Konto erstellen"
auth,current_password,"Current password","Current password",de,de,"Aktuelles Passwort"
auth,delete_account,"Delete account","Delete account",de,de,"Konto löschen"
auth,delete_account_text,"I understand that deleting my account will remove all of my personal data and
this is a permanent action.","I understand that deleting my account will remove all of my personal data and
this is a permanent action.",de,de,"Mir ist bekannt, dass durch das Löschen meines Kontos alle meine persönlichen Daten gelöscht werden und
dies eine dauerhafte Maßnahme ist."
auth,email_address,"Email address","Email address",de,de,"E-Mail Adresse"
auth,email_address_validation,"An account with this email address already exists. Have you tried logging in?","An account with this email address already exists. Have you tried logging in?",de,de,"Es existiert bereits ein Konto mit dieser E-Mail-Adresse. Haben Sie versucht, sich anzumelden?"
auth,failed,"These credentials do not match our records.","These credentials do not match our records.",de,de,"Diese Angaben stimmen nicht mit unseren Aufzeichnungen überein."
auth,forgot_password,"Forgot password","Forgot password",de,de,"Passwort vergessen"
auth,forgotten_pw,"Forgotten your password?","Forgotten your password?",de,de,"Haben Sie Ihr Passwort vergessen?"
auth,forgotten_pw_text,"It happens to all of us. Simply enter your email to receive a password reset message.","It happens to all of us. Simply enter your email to receive a password reset message.",de,de,"Das kann jedem von uns passieren. Geben Sie einfach Ihre E-Mail-Adresse ein, um eine Nachricht zum Zurücksetzen des Passworts zu erhalten."
auth,login,Login,Login,de,de,Anmeldung
auth,new_password,"New password","New password",de,de,"Neues Passwort"
auth,new_repeat_password,"Repeat new password","Repeat new password",de,de,"Wiederholung des neuen Passworts"
auth,password,Password,Password,de,de,Passwort
auth,profile_admin,"Admin only","Admin only",de,de,"Nur Verwaltung"
auth,profile_admin_text,"Here admins have the ability to change a user's role or their associated groups","Here admins have the ability to change a user's role or their associated groups",de,de,"Hier haben Administratoren die Möglichkeit, die Rolle eines Benutzers oder die zugehörigen Gruppen zu ändern"
auth,repeat_password,"Repeat password","Repeat password",de,de,"Passwort wiederholen"
auth,repeat_password_validation,"Passwords do not match or are fewer than six characters","Passwords do not match or are fewer than six characters",de,de,"Passwörter stimmen nicht überein oder bestehen aus weniger als sechs Zeichen"
auth,reset,Reset,Reset,de,de,Zurücksetzen
auth,reset_password,"Reset password","Reset password",de,de,"Passwort zurücksetzen"
auth,save_preferences,"Save preferences","Save preferences",de,de,"Einstellungen speichern"
auth,save_user,"Save user","Save user",de,de,"Benutzer speichern"
auth,set_preferences,"Click here to set your email preferences for our discussion platform","Click here to set your email preferences for our discussion platform",de,de,"Klicken Sie hier, um Ihre E-Mail-Präferenzen für unsere Diskussionsplattform festzulegen"
auth,sign_in,"I remembered.  Let me sign in","I remembered.  Let me sign in",de,de,"Ich habe mich erinnert.  Ich möchte mich anmelden"
