"group","key","en","fk","lang","alias","trans"
"_json","Coffee maker","Coffee maker","Coffee maker","de","de",
"_json","Hand tool","Hand tool","Hand tool","de","de",
"_json","Iron","Iron","Iron","de","de",
"_json","Jewellery","Jewellery","Jewellery","de","de",
"_json","Laptop","Laptop","Laptop","de","de",
"_json","Scanner","Scanner","Scanner","de","de",
"_json","Tablet","Tablet","Tablet","de","de",
"_json","Toaster","Toaster","Toaster","de","de",
"_json","Toner","Toner","Toner","de","de",
"_json","Vendor lock-in","Vendor lock-in","Vendor Lock-in","de","de",
"admin","brand","Brand","Brand","de","de",
"admin","brand_modal_title","Add new brand","Add new brand","de","de",
"admin","brand-name","Brand name","Brand name","de","de",
"admin","categories","Categories","Categories","de","de",
"admin","category_cluster","Category Cluster","Category Cluster","de","de",
"admin","category_name","Category name","Category name","de","de",
"admin","co2_footprint","CO<sub>2</sub> Footprint (kg)","CO<sub>2</sub> Footprint (kg)","de","de",
"admin","create-new-brand","Create new brand","Create new brand","de","de",
"admin","create-new-category","Create new category","Create new category","de","de",
"admin","create-new-skill","Create new skill","Create new skill","de","de",
"admin","create-new-tag","Create new tag","Create new tag","de","de",
"admin","delete-skill","Delete skill","Delete skill","de","de",
"admin","delete-tag","Delete tag","Delete tag","de","de",
"admin","description","Description","Description","de","de",
"admin","description_optional","Description (optional)","Description (optional)","de","de",
"admin","edit-brand","Edit brand","Edit brand","de","de",
"admin","edit-brand-content",,,"de","de",
"admin","edit-category","Edit category","Edit category","de","de",
"admin","edit-category-content",,,"de","de",
"admin","edit-group-tag","Edit group tag","Edit group tag","de","de",
"admin","edit-group-tag-content",,,"de","de",
"admin","edit-skill","Edit skill","Edit skill","de","de",
"admin","edit-skill-content",,,"de","de",
"admin","edit-tag","Edit tag","Edit tag","de","de",
"admin","group-tags","Group tags","Group tags","de","de",
"admin","name","Name","Name","de","de",
"admin","reliability","Reliability","Reliability","de","de",
"admin","reliability-1","Very poor","Very poor","de","de",
"admin","reliability-2","Poor","Poor","de","de",
"admin","reliability-3","Fair","Fair","de","de",
"admin","reliability-4","Good","Good","de","de",
"admin","reliability-5","Very good","Very good","de","de",
"admin","reliability-6","N/A","N/A","de","de",
"admin","save-brand","Save brand","Save brand","de","de",
"admin","save-category","Save category","Save category","de","de",
"admin","save-skill","Save skill","Save skill","de","de",
"admin","save-tag","Save tag","Save tag","de","de",
"admin","skill_name","Skill name","Skill name","de","de",
"admin","skills","Skills","Skills","de","de",
"admin","skills_modal_title","Add new skill","Add new skill","de","de",
"admin","tag-name","Tag name","Tag name","de","de",
"admin","tags_modal_title","Add new tag","Add new tag","de","de",
"admin","weight","Weight (kg)","Weight (kg)","de","de",
"auth","assigned_groups","Assigned to groups","Assigned to groups","de","de",
"auth","change_password","Change password","Change password","de","de",
"auth","change_password_text","Keep your account safe and regularly change your password.","Keep your account safe and regularly change your password.","de","de",
"auth","create_account","Create an account","Create an account","de","de",
"auth","current_password","Current password","Current password","de","de",
"auth","delete_account","Delete account","Delete account","de","de",
"auth","delete_account_text","I understand that deleting my account will remove all of my personal data and
this is a permanent action.","I understand that deleting my account will remove all of my personal data and
this is a permanent action.","de","de",
"auth","email_address","Email address","Email address","de","de",
"auth","email_address_validation","An account with this email address already exists. Have you tried logging in?","An account with this email address already exists. Have you tried logging in?","de","de",
"auth","failed","These credentials do not match our records.","These credentials do not match our records.","de","de",
"auth","forgot_password","Forgot password","Forgot password","de","de",
"auth","forgotten_pw","Forgotten your password?","Forgotten your password?","de","de",
"auth","forgotten_pw_text","It happens to all of us. Simply enter your email to receive a password reset message.","It happens to all of us. Simply enter your email to receive a password reset message.","de","de",
"auth","login","Login","Login","de","de",
"auth","new_password","New password","New password","de","de",
"auth","new_repeat_password","Repeat new password","Repeat new password","de","de",
"auth","password","Password","Password","de","de",
"auth","profile_admin","Admin only","Admin only","de","de",
"auth","profile_admin_text","Here admins have the ability to change a user's role or their associated groups","Here admins have the ability to change a user's role or their associated groups","de","de",
"auth","repeat_password","Repeat password","Repeat password","de","de",
"auth","repeat_password_validation","Passwords do not match or are fewer than six characters","Passwords do not match or are fewer than six characters","de","de",
"auth","reset","Reset","Reset","de","de",
"auth","reset_password","Reset password","Reset password","de","de",
"auth","save_preferences","Save preferences","Save preferences","de","de",
"auth","save_user","Save user","Save user","de","de",
"auth","set_preferences","Click here to set your email preferences for our discussion platform","Click here to set your email preferences for our discussion platform","de","de",
"auth","sign_in","I remembered.  Let me sign in","I remembered.  Let me sign in","de","de",
"auth","throttle","Too many login attempts. Please try again in :seconds seconds.","Too many login attempts. Please try again in :seconds seconds.","de","de",
"auth","user_role","User role","User role","de","de",
"battcatora","status.problem","Problem","Problem","de","de",
"battcatora","status.status","Status","Status","de","de",
"battcatora","survey.a3","Neutral","Neutral","de","de",
"battcatora","task.brand","Brand","Brand","de","de",
"battcatora","task.status","Status","Status","de","de",
"dashboard","add_avatar","Add an avatar","Add an avatar","de","de",
"dashboard","add_skills","Add your skills","Add your skills","de","de",
"dashboard","devices_logged","devices logged","devices logged","de","de",
"dashboard","getting_started_header","Getting started","Getting Started","de","de",
"dashboard","join_discussion","Join the discussion","Join the discussion","de","de",
"dashboard","rsvp_event","RSVP to an event","RSVP to an event","de","de",
