"group","key","en","fk","lang","alias","trans"
"_json","Access issue","Access issue",NULL,"no","no",
"_json","Administrator","Admin",NULL,"no","no",
"_json","Aircon/dehumidifier","Aircon/dehumidifier",NULL,"no","no",
"_json","Battery is not the main problem","Battery is not the main problem",NULL,"no","no",
"_json","Battery not readily available","Battery not readily available",NULL,"no","no",
"_json","Battery/charger/adapter","Battery/charger/adapter",NULL,"no","no",
"_json","Bicycle","Bicycle",NULL,"no","no",
"_json","Bluetooth","Bluetooth",NULL,"no","no",
"_json","Built-in or soldered battery, cannot remove","Built-in or soldered battery, cannot remove",NULL,"no","no",
"_json","Camera","Camera",NULL,"no","no",
"_json","Card reader","Card reader",NULL,"no","no",
"_json","Changing a fuse","Changing a fuse",NULL,"no","no",
"_json","Charger","Charger",NULL,"no","no",
"_json","Charger not readily available","Charger not readily available",NULL,"no","no",
"_json","Clean battery contacts","Clean battery contacts",NULL,"no","no",
"_json","Clothing/textile","Clothing/textile",NULL,"no","no",
"_json","Coffee maker","Coffee maker",NULL,"no","no",
"_json","Computers and Home Office","Computers and Home Office",NULL,"no","no",
"_json","Configuration","Configuration",NULL,"no","no",
"_json","Control buttons","Control buttons",NULL,"no","no",
"_json","Damaged while replacing battery","Damaged while replacing battery",NULL,"no","no",
"_json","Data volunteering","Data volunteering",NULL,"no","no",
"_json","Decorative or safety lights","Decorative or safety lights",NULL,"no","no",
"_json","Desktop computer","Desktop computer",NULL,"no","no",
"_json","Difficult to remove battery","Difficult to remove battery",NULL,"no","no",
"_json","Digital compact camera","Digital compact camera",NULL,"no","no",
"_json","Display panel","Display panel",NULL,"no","no",
"_json","DSLR/video camera","DSLR/video camera",NULL,"no","no",
"_json","Electronic Gadgets","Electronic Gadgets",NULL,"no","no",
"_json","Electronics safety","Electronics safety",NULL,"no","no",
"_json","End of life","End of life",NULL,"no","no",
"_json","External damage","External damage",NULL,"no","no",
"_json","Fan","Fan",NULL,"no","no",
"_json","Finding venues","Finding venues",NULL,"no","no",
"_json","First aid","First aid",NULL,"no","no",
"_json","Fix connectors or casing","Fix connectors or casing",NULL,"no","no",
"_json","Fix the charging port","Fix the charging port",NULL,"no","no",
"_json","Fixed","Fixed",NULL,"no","no",
"_json","Flat screen","Flat screen",NULL,"no","no",
"_json","Flat screen 15-17""","Flat screen 15-17""",NULL,"no","no",
"_json","Flat screen 19-20""","Flat screen 19-20""",NULL,"no","no",
"_json","Flat screen 22-24""","Flat screen 22-24""",NULL,"no","no",
"_json","Flat screen 26-30""","Flat screen 26-30""",NULL,"no","no",
"_json","Flat screen 32-37""","Flat screen 32-37""",NULL,"no","no",
"_json","Food processor","Food processor",NULL,"no","no",
"_json","Furniture","Furniture",NULL,"no","no",
"_json","Games console","Games console",NULL,"no","no",
"_json","Hair & beauty item","Hair & beauty item",NULL,"no","no",
"_json","Hand tool","Hand tool",NULL,"no","no",
"_json","Handheld entertainment device","Handheld entertainment device",NULL,"no","no",
"_json","Headphone jack","Headphone jack",NULL,"no","no",
"_json","Headphones","Headphones",NULL,"no","no",
"_json","Help/configuration","Help/configuration",NULL,"no","no",
"_json","Hi-Fi integrated","Hi-Fi integrated",NULL,"no","no",
"_json","Hi-Fi separates","Hi-Fi separates",NULL,"no","no",
"_json","Home Entertainment","Home Entertainment",NULL,"no","no",
"_json","Host","Host",NULL,"no","no",
"_json","Imaging unit/drum","Imaging unit/drum",NULL,"no","no",
"_json","Ink cartridge","Ink cartridge",NULL,"no","no",
"_json","Internal damage","Internal damage",NULL,"no","no",
"_json","Iron","Iron",NULL,"no","no",
"_json","Jewellery","Jewellery",NULL,"no","no",
"_json","Kettle","Kettle",NULL,"no","no",
"_json","Kitchen and Household Items","Kitchen and Household Items",NULL,"no","no",
"_json","Lack of equipment","Lack of equipment",NULL,"no","no",
"_json","Lamp","Lamp",NULL,"no","no",
"_json","Laptop","Laptop",NULL,"no","no",
"_json","Laptop disassembly","Laptop disassembly",NULL,"no","no",
"_json","Laptop large","Laptop large",NULL,"no","no",
"_json","Laptop medium","Laptop medium",NULL,"no","no",
"_json","Laptop small","Laptop small",NULL,"no","no",
"_json","Large home electrical","Large home electrical",NULL,"no","no",
"_json","Liquid damage","Liquid damage",NULL,"no","no",
"_json","Managing events","Managing events",NULL,"no","no",
"_json","Memory card slot","Memory card slot",NULL,"no","no",
"_json","Microphone","Microphone",NULL,"no","no",
"_json","Misc","Misc",NULL,"no","no",
"_json","Mobile","Mobile",NULL,"no","no",
"_json","Musical instrument","Musical instrument",NULL,"no","no",
"_json","NetworkCoordinator","Network Coordinator",NULL,"no","no",
"_json","New battery too expensive","New battery too expensive",NULL,"no","no",
"_json","No way to open the product","No way to open the product",NULL,"no","no",
"_json","Non-Powered Items","Non-Powered Items",NULL,"no","no",
"_json","On/Off button","On/Off button",NULL,"no","no",
"_json","Organising skills - please select at least one if you’d like to host events","Organising skills - please select at least one if you’d like to host events",NULL,"no","no",
